AudioID,AudioFile,WordID,Word,Locale,Transcription
a179,179_audio.wav,id90,Cool breezes,en-GB,ku:l bri:zIz
a183,183_audio.wav,id92,Loud thunder,en-GB,"laUd ""t^nd3"""
a216,216_audio.wav,id109,Cloudy skies,en-US,klaUdi skaIz
a070,070_audio.wav,id36,Rising sun,en-US,raIzIN s^n
a175,175_audio.wav,id88,Bright stars,en-GB,braIt stA:z
a150,150_audio.wav,id76,Rustling leaves,en-US,r^slIN li:vz
a026,026_audio.wav,id14,Winding roads,en-US,waIndIN roUdz
a151,151_audio.wav,id76,Rustling leaves,en-GB,r^slIN li:vz
a181,181_audio.wav,id91,Faint echoes,en-GB,"feInt ""Ek@Uz"""
a162,162_audio.wav,id82,Gusty storms,en-US,g^sti stOrmz
a170,170_audio.wav,id86,Crunchy leaves,en-US,kr^ntSi li:vz
a157,157_audio.wav,id79,Frosty mornings,en-GB,"frosti ""mO:nINz"""
a096,096_audio.wav,id49,Amber sky,en-US,Am.b@r skaI
a102,102_audio.wav,id52,Blooming flowers,en-US,blu:m.IN flaU@rz
a161,161_audio.wav,id81,Cozy evenings,en-GB,"koUzi ""i:vNInz"""
a142,142_audio.wav,id72,Deep oceans,en-US,"di:p ""oUS@nz"""
a022,022_audio.wav,id12,Bright stars,en-US,braIt stArz
a005,005_audio.wav,id03,Reading a book,en-GB,ri:dIN @ bUk
a206,206_audio.wav,id104,Misty mornings,en-US,"mIsti ""mOrnINz"""
a075,075_audio.wav,id38,Dancing shadows,en-GB,dA:nsIN SEdoUz
a101,101_audio.wav,id51,Cascading waterfall,en-GB,"k@""skeId.IN ""wO:t3:r.fO:l"""
a104,104_audio.wav,id53,Crashing waves,en-US,krAS.IN weIvz
a204,204_audio.wav,id103,High tides,en-US,haI taIdz
a196,196_audio.wav,id99,Splashing waves,en-US,splA:SIN weIvz
a023,023_audio.wav,id12,Bright stars,en-GB,braIt stA:z
a131,131_audio.wav,id66,Starry nights,en-GB,stA:ri naIts
