AudioID,AudioFile,WordID,Word,Locale,Transcription
a000,000_audio.wav,id01,City lights,en-US,"sIti laIts"
a001,001_audio.wav,id01,City lights,en-GB,"sIti laIts"
a002,002_audio.wav,id02,Nightfall comes,en-US,"naItfAl k^ms"
a003,003_audio.wav,id02,Nightfall comes,en-GB,"naItfO:l k^mz"
a004,004_audio.wav,id03,Reading a book,en-US,"ri:dIN @ bUk"
a005,005_audio.wav,id03,Reading a book,en-GB,"ri:dIN @ bUk"
a006,006_audio.wav,id04,Shadows grow,en-US,"SEdoUz groU"
a007,007_audio.wav,id04,Shadows grow,en-GB,"SEdoUz gr@U"
a008,008_audio.wav,id05,Cold winds,en-US,"kold wIndz"
a009,009_audio.wav,id05,Cold winds,en-GB,"k@Uld wIndz"
a010,010_audio.wav,id06,Soft whispers,en-US,"sAft "wIsp@rz"
a011,011_audio.wav,id06,Soft whispers,en-GB,"sOft "wIsp3:z"
a012,012_audio.wav,id07,The morning sun,en-US,"D@ mOrnIN s^n"
a013,013_audio.wav,id07,The morning sun,en-GB,"D@ mO:nIN s^n"
a014,014_audio.wav,id08,Waves crash,en-US,"weIvz krAS"
a015,015_audio.wav,id08,Waves crash,en-GB,"weIvz krAS"
a016,016_audio.wav,id09,Silent thoughts,en-US,"saIl@nt TOts"
a017,017_audio.wav,id09,Silent thoughts,en-GB,"saIl@nt TOts"
